"시점","지표선택별",데이터
"2018.01","경제심리지수(순환변동치)",100.5
"2018.02","경제심리지수(원계열)",101.0
"2018.02","경제심리지수(순환변동치)",100.0
"2018.03","경제심리지수(원계열)",97.9
"2018.03","경제심리지수(순환변동치)",99.5
"2018.04","경제심리지수(원계열)",99.6
"2018.04","경제심리지수(순환변동치)",99.0
"2018.05","경제심리지수(원계열)",101.7
"2018.05","경제심리지수(순환변동치)",98.6
"2018.06","경제심리지수(원계열)",100.2
"2018.06","경제심리지수(순환변동치)",98.2
"2018.07","경제심리지수(원계열)",95.5
"2018.07","경제심리지수(순환변동치)",97.7
"2018.08","경제심리지수(원계열)",96.6
"2018.08","경제심리지수(순환변동치)",97.3
"2018.09","경제심리지수(원계열)",99.1
"2018.09","경제심리지수(순환변동치)",96.8
"2018.10","경제심리지수(원계열)",95.1
"2018.10","경제심리지수(순환변동치)",96.3
"2018.11","경제심리지수(원계열)",94.2
"2018.11","경제심리지수(순환변동치)",95.9
"2018.12","경제심리지수(원계열)",94.4
"2018.12","경제심리지수(순환변동치)",95.5
"2019.01","경제심리지수(원계열)",92.0
"2019.01","경제심리지수(순환변동치)",95.3
"2019.02","경제심리지수(원계열)",97.2
"2019.02","경제심리지수(순환변동치)",95.1
"2019.03","경제심리지수(원계열)",96.4
"2019.03","경제심리지수(순환변동치)",95.0
"2019.04","경제심리지수(원계열)",97.4
"2019.04","경제심리지수(순환변동치)",94.9
"2019.05","경제심리지수(원계열)",94.0
"2019.05","경제심리지수(순환변동치)",94.7
"2019.06","경제심리지수(원계열)",94.7
"2019.06","경제심리지수(순환변동치)",94.6
"2019.07","경제심리지수(원계열)",91.9
"2019.07","경제심리지수(순환변동치)",94.4
"2019.08","경제심리지수(원계열)",91.2
"2019.08","경제심리지수(순환변동치)",94.1
"2019.09","경제심리지수(원계열)",93.8
"2019.09","경제심리지수(순환변동치)",93.5
"2019.10","경제심리지수(원계열)",93.2
"2019.10","경제심리지수(순환변동치)",92.5
"2019.11","경제심리지수(원계열)",94.0
"2019.11","경제심리지수(순환변동치)",90.9
"2019.12","경제심리지수(원계열)",94.8
"2019.12","경제심리지수(순환변동치)",88.5
"2020.01","경제심리지수(원계열)",97.3
"2020.01","경제심리지수(순환변동치)",85.4
"2020.02","경제심리지수(원계열)",89.8
"2020.02","경제심리지수(순환변동치)",81.7
"2020.03","경제심리지수(원계열)",69.2
"2020.03","경제심리지수(순환변동치)",78.1
"2020.04","경제심리지수(원계열)",62.2
"2020.04","경제심리지수(순환변동치)",75.4
"2020.05","경제심리지수(원계열)",64.1
"2020.05","경제심리지수(순환변동치)",74.1
"2020.06","경제심리지수(원계열)",68.7
"2020.06","경제심리지수(순환변동치)",74.3
"2020.07","경제심리지수(원계열)",77.3
"2020.07","경제심리지수(순환변동치)",75.8
"2020.08","경제심리지수(원계열)",83.3
"2020.08","경제심리지수(순환변동치)",78.1
"2020.09","경제심리지수(원계열)",77.5
"2020.09","경제심리지수(순환변동치)",81.0
"2020.10","경제심리지수(원계열)",88.6
"2020.10","경제심리지수(순환변동치)",84.2
"2020.11","경제심리지수(원계열)",91.5
"2020.11","경제심리지수(순환변동치)",87.4
"2020.12","경제심리지수(원계열)",85.6
"2020.12","경제심리지수(순환변동치)",90.5
"2021.01","경제심리지수(원계열)",92.7
"2021.01","경제심리지수(순환변동치)",93.5
"2021.02","경제심리지수(원계열)",96.3
"2021.02","경제심리지수(순환변동치)",96.4
"2021.03","경제심리지수(원계열)",101.1
"2021.03","경제심리지수(순환변동치)",99.0
"2021.04","경제심리지수(원계열)",105.2
"2021.04","경제심리지수(순환변동치)",101.3
"2021.05","경제심리지수(원계열)",105.3
"2021.05","경제심리지수(순환변동치)",103.2
"2021.06","경제심리지수(원계열)",109.2
"2021.06","경제심리지수(순환변동치)",104.6
"2021.07","경제심리지수(원계열)",103.8
"2021.07","경제심리지수(순환변동치)",105.5
"2021.08","경제심리지수(원계열)",105.2
"2021.08","경제심리지수(순환변동치)",106.0
"2021.09","경제심리지수(원계열)",104.4
"2021.09","경제심리지수(순환변동치)",106.3
"2021.10","경제심리지수(원계열)",105.5
"2021.10","경제심리지수(순환변동치)",106.4
"2021.11","경제심리지수(원계열)",106.2
"2021.11","경제심리지수(순환변동치)",106.4
"2021.12","경제심리지수(원계열)",104.5
"2021.12","경제심리지수(순환변동치)",106.1
"2022.01","경제심리지수(원계열)",105.6
"2022.01","경제심리지수(순환변동치)",105.8
"2022.02","경제심리지수(원계열)",105.7
"2022.02","경제심리지수(순환변동치)",105.3
"2022.03","경제심리지수(원계열)",103.4
"2022.03","경제심리지수(순환변동치)",104.9
"2022.04","경제심리지수(원계열)",105.7
"2022.04","경제심리지수(순환변동치)",104.5
"2022.05","경제심리지수(원계열)",106.7
"2022.05","경제심리지수(순환변동치)",104.2
